Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Todd Gurley,387.8,86.4137931,0.551724138,0.172413793,2.206896552,2.896551724,17.48275862,21.5,68.65517241,17.75862069,8.3,0,0.862068966,77.45,0.551724138,3.310344828,47.5,32,4,19.68965517,4.5,75.75,0.375,0.125,2.6875,3.625,17.375,22,55.3125,20.4375,7.6,0,1,74.1,0.375,3.0625,24,33,3.2,20.0625,3.8
Todd Gurley,194.2,99.53846154,0.769230769,0.230769231,1.615384615,2,17.61538462,21,85.07692308,14.46153846,9,0,0.692307692,80.8,0.769230769,3.615384615,71,31,4.8,19.23076923,5.2,99.53846154,0.769230769,0.230769231,1.615384615,2,17.61538462,21,85.07692308,14.46153846,9,0,0.692307692,80.8,0.769230769,3.615384615,71,31,4.8,19.23076923,5.2
Tyler Lockett,180.9,42.72340426,0.212765957,0.021276596,2.914893617,4.382978723,0.446808511,24,4.085106383,38.63829787,13.3,0.191489362,1.659574468,66.46666667,0.021276596,0.212765957,35,60,9.6,3.361702128,12.8,38.3125,0.125,0,2.8125,4.4375,0.625,25,3.625,34.6875,12.3,0.125,1.5,63.4,0,0.3125,22,74,5.8,3.4375,11.1
Tyler Lockett,87.8,45,0.258064516,0.032258065,2.967741935,4.35483871,0.35483871,23.5,4.322580645,40.67741935,13.8,0.225806452,1.741935484,68,0.032258065,0.161290323,41.5,53,11.5,3.322580645,13.65,47.4,0.133333333,0,2.733333333,4.4,0.4,24,7.6,39.8,14.6,0.066666667,1.533333333,62.1,0.066666667,0.266666667,75,57,19,3.133333333,15.1
Tyler Lockett,96.6,42.75,0.375,0.0625,3.1875,4.3125,0.3125,23,1.25,41.5,13,0.375,1.9375,73.9,0,0.0625,8,49,4,3.5,12.2,42.75,0.375,0.0625,3.1875,4.3125,0.3125,23,1.25,41.5,13,0.375,1.9375,73.9,0,0.0625,8,49,4,3.5,12.2
Odell Beckham,165.1,95.29787234,0.808510638,0.127659574,6.659574468,10.59574468,0.212765957,23.5,1.170212766,94.12765957,13.75,0.808510638,4.382978723,62.9,0,0.063829787,8.25,72.5,6.25,6.872340426,13.525,77.5,0.75,0,6.25,10.25,0.25,25,2,75.5,12.1,0.75,3.5,61,0,0,8,48,8,6.5,11.9
Odell Beckham,56,96.95348837,0.813953488,0.139534884,6.697674419,10.62790698,0.209302326,23,1.093023256,95.86046512,14.3,0.813953488,4.465116279,63.53333333,0,0.069767442,8.333333333,80.66666667,5.666666667,6.906976744,14.06666667,86,0.625,0.1875,6.3125,10.5625,0.0625,24,0.5625,85.4375,13.5,0.625,4.125,59.8,0,0,9,75,9,6.375,13.5
Odell Beckham,224.6,103.4444444,0.925925926,0.111111111,6.925925926,10.66666667,0.296296296,22.5,1.407407407,102.037037,14.7,0.925925926,4.666666667,65.4,0,0.111111111,8,83.5,4,7.222222222,14.35,96.86666667,0.866666667,0.133333333,6.4,10.53333333,0.066666667,23,0.2,96.66666667,15.1,0.866666667,4.533333333,60.8,0,0.066666667,3,87,3,6.466666667,15
Odell Beckham,253.8,111.6666667,1,0.083333333,7.583333333,10.83333333,0.583333333,22,2.916666667,108.75,14.3,1,4.833333333,70,0,0.166666667,13,80,5,8.166666667,13.7,111.6666667,1,0.083333333,7.583333333,10.83333333,0.583333333,22,2.916666667,108.75,14.3,1,4.833333333,70,0,0.166666667,13,80,5,8.166666667,13.7
Adrian Peterson,216.5,107.4511278,0.781954887,0.315789474,1.894736842,2.654135338,19.35338346,27,92.30075188,15.15037594,7.654545455,0.037593985,0.661654135,68.44545455,0.744360902,4.270676692,57.72727273,28.63636364,4.363636364,21.2481203,4.672727273,59.9,0.2,0.3,1.1,1.9,15.6,32,52.9,7,6.4,0,0,57.9,0.2,0,27,13,3.4,16.7,3.6
Adrian Peterson,72.4,111.3170732,0.829268293,0.317073171,1.959349593,2.715447154,19.65853659,26.5,95.50406504,15.81300813,7.78,0.040650407,0.715447154,69.5,0.788617886,4.617886179,60.8,30.2,4.46,21.61788618,4.78,26.66666667,0,0.333333333,1,2,12.33333333,31,24,2.666666667,2.7,0,0,50,0,1,13,7,1.9,13.33333333,2
Adrian Peterson,11,113.4333333,0.85,0.316666667,1.983333333,2.733333333,19.84166667,26,97.29166667,16.14166667,8.344444444,0.041666667,0.733333333,71.66666667,0.808333333,4.708333333,66.11111111,32.77777778,4.744444444,21.825,5.088888889,106.6875,0.6875,0.4375,1.875,2.25,20.4375,30,92.8125,13.875,7.4,0,0.5625,83.3,0.6875,4.5,80,49,4.5,22.3125,4.8
Adrian Peterson,283.2,114.4711538,0.875,0.298076923,2,2.807692308,19.75,25.5,97.98076923,16.49038462,8.4625,0.048076923,0.759615385,70.2125,0.826923077,4.740384615,64.375,30.75,4.775,21.75,5.125,93,0,0,2,3,21,29,75,18,9,0,1,66.7,0,4,17,9,3.6,23,4
Adrian Peterson,15.8,114.6796117,0.883495146,0.300970874,2,2.805825243,19.73786408,25,98.2038835,16.47572816,8.385714286,0.048543689,0.757281553,70.71428571,0.834951456,4.747572816,71.14285714,33.85714286,4.942857143,21.73786408,5.285714286,102.6428571,0.785714286,0.357142857,2.071428571,2.857142857,19.92857143,28,90.42857143,12.21428571,5.9,0.071428571,0.785714286,72.5,0.714285714,4.357142857,78,22,4.5,22,4.7
Adrian Peterson,241.2,116.5730337,0.898876404,0.292134831,1.988764045,2.797752809,19.70786517,24.5,99.42696629,17.14606742,8.8,0.04494382,0.752808989,70.41666667,0.853932584,4.808988764,70,35.83333333,5.016666667,21.69662921,5.383333333,144.625,0.8125,0.25,2.5,3.1875,21.75,27,131.0625,13.5625,5.4,0.0625,0.6875,78.4,0.75,5.5,82,20,6,24.25,6
Adrian Peterson,355.4,110.4246575,0.917808219,0.301369863,1.876712329,2.712328767,19.26027397,24,92.49315068,17.93150685,9.48,0.04109589,0.767123288,68.82,0.876712329,4.657534247,67.6,39,4.82,21.1369863,5.26,92.41666667,1.083333333,0.083333333,1.5,2,17.33333333,26,80.83333333,11.58333333,7.7,0.083333333,0.416666667,75,1,4,54,22,4.7,18.83333333,4.9
Adrian Peterson,221.9,113.9672131,0.885245902,0.344262295,1.950819672,2.852459016,19.63934426,23.5,94.78688525,19.18032787,9.925,0.032786885,0.836065574,67.275,0.852459016,4.786885246,71,43.25,4.85,21.59016393,5.35,109.2666667,0.866666667,0.066666667,2.4,3.333333333,18.86666667,25,86.53333333,22.73333333,9.5,0.066666667,1.133333333,72,0.8,4.733333333,80,34,4.6,21.26666667,5.1
Adrian Peterson,292.4,115.5,0.891304348,0.434782609,1.804347826,2.695652174,19.89130435,23,97.47826087,18.02173913,10.06666667,0.02173913,0.739130435,65.7,0.869565217,4.804347826,68,46.33333333,4.933333333,21.69565217,5.433333333,113.6875,1.125,0.4375,2.6875,3.5625,19.625,24,86.4375,27.25,10.1,0,1,75.4,1.125,4.75,64,63,4.4,22.3125,5.1
Adrian Peterson,345.4,116.4666667,0.766666667,0.433333333,1.333333333,2.233333333,20.03333333,22.5,103.3666667,13.1,10.05,0.033333333,0.6,60.85,0.733333333,4.833333333,70,38,5.2,21.36666667,5.6,117.8125,0.625,0.5625,1.3125,2.4375,22.6875,23,110,7.8125,6,0,0.25,53.8,0.625,5.125,67,16,4.8,24,4.9
Adrian Peterson,279.5,114.9285714,0.928571429,0.285714286,1.357142857,2,17,22,95.78571429,19.14285714,14.1,0.071428571,1,67.9,0.857142857,4.5,73,60,5.6,18.35714286,6.3,114.9285714,0.928571429,0.285714286,1.357142857,2,17,22,95.78571429,19.14285714,14.1,0.071428571,1,67.9,0.857142857,4.5,73,60,5.6,18.35714286,6.3
Mike Williams,157.2,9.5,0,0,1.1,2.3,0,23,0,9.5,8.6,0,0.7,47.8,0,0,0,20,0,1.1,8.6,9.5,0,0,1.1,2.3,0,23,0,9.5,8.6,0,0.7,47.8,0,0,0,20,0,1.1,8.6
Davante Adams,248.6,47.6440678,0.440677966,0.033898305,4.016949153,6.745762712,0,23.5,0,47.6440678,11.675,0.440677966,2.288135593,59,0,0,0,51.5,0,4.016949153,11.675,63.21428571,0.714285714,0,5.285714286,8.357142857,0,25,0,63.21428571,12,0.714285714,3.285714286,63.2,0,0,0,55,0,5.285714286,12
Davante Adams,171.5,42.8,0.355555556,0.044444444,3.622222222,6.244444444,0,23,0,42.8,11.56666667,0.355555556,1.977777778,57.6,0,0,0,50.33333333,0,3.622222222,11.56666667,62.3125,0.75,0.125,4.6875,7.5625,0,24,0,62.3125,13.3,0.75,2.875,62,0,0,0,66,0,4.6875,13.3
Davante Adams,190.7,32.03448276,0.137931034,0,3.034482759,5.517241379,0,22.5,0,32.03448276,10.7,0.137931034,1.482758621,55.4,0,0,0,42.5,0,3.034482759,10.7,37.15384615,0.076923077,0,3.846153846,7.230769231,0,23,0,37.15384615,9.7,0.076923077,1.538461538,53.2,0,0,0,40,0,3.846153846,9.7
Davante Adams,64.3,27.875,0.1875,0,2.375,4.125,0,22,0,27.875,11.7,0.1875,1.4375,57.6,0,0,0,45,0,2.375,11.7,27.875,0.1875,0,2.375,4.125,0,22,0,27.875,11.7,0.1875,1.4375,57.6,0,0,0,45,0,2.375,11.7
Raheem Mostert,50.6,1.44,0,0.08,0,0,0.28,24,1.44,0,0,0,0,0,0,0.04,7.333333333,0,3.666666667,0.28,3.666666667,2.727272727,0,0.090909091,0,0,0.545454545,25,2.727272727,0,0,0,0,0,0,0.090909091,16,0,5,0.545454545,5
Raheem Mostert,1.5,0.428571429,0,0.071428571,0,0,0.071428571,23.5,0.428571429,0,0,0,0,0,0,0,3,0,3,0.071428571,3,2,0,0,0,0,0.333333333,24,2,0,0,0,0,0,0,0,6,0,6,0.333333333,6
Raheem Mostert,0.6,0,0,0.090909091,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
